"Reference","Value","URL","Qty"
"C1, C4, C7, C11","10uF/16V","https://www.thegioiic.com/tu-tantalum-10uf-16v-1206-taja106k016rnj","4"
"C2","22uF/25V","https://www.thegioiic.com/tu-nhom-smd-22uf-25v-6-3x5-4mm","1"
"C3, C5","4.7uF/50V","https://www.thegioiic.com/tu-gom-0805-4-7uf-50v","2"
"C6","10pF/50V","https://www.thegioiic.com/tu-gom-0805-10pf-50v","1"
"C8, C12","1uF/16V","https://www.thegioiic.com/tu-tantalum-1uf-16v-1206-taja105k016rnj","2"
"C9","0.1uF/16V","https://www.thegioiic.com/tu-gom-0603-100nf-0-1uf-16v","1"
"C10, C24, C33","10nF/50V","https://www.thegioiic.com/tu-gom-0603-10nf-50v","3"
"C13","1nF/50V","https://www.thegioiic.com/tu-gom-0603-1nf-50v","1"
"C14","47pF/50V","https://www.thegioiic.com/tu-gom-0603-47pf-50v","1"
"C15, C16","47uF/6.3V","https://www.thegioiic.com/tu-gom-0805-47uf-6-3v","2"
"C17, C18, C20, C21","20pF/50V","https://www.thegioiic.com/tu-gom-0603-20pf-50v","4"
"C19, C42, C44, C45, C49, C50, C53","10uF/16V","https://www.thegioiic.com/tu-gom-0603-10uf-16v","7"
"C22, C23, C27-C29, C31, C32, C34-C38, C40, C41, C43, C46, C47, C51, C52, C54-C56","100nF/16V","https://www.thegioiic.com/tu-gom-0603-100nf-0-1uf-16v","22"
"C25, C30, C48","1uF/16V","https://www.thegioiic.com/tu-gom-0603-1uf-16v","3"
"C26","4.7uF/25V","https://www.thegioiic.com/tu-gom-0603-4-7uf-25v","1"
"C39, C57","22uF/6.3V","https://www.thegioiic.com/tu-gom-0603-22uf-6-3v","2"
"D1, D11","SS34","https://www.thegioiic.com/twgmc-ss34-sma-diode-schottky-3a","2"
"D2","SS54","https://www.thegioiic.com/ss54-sma-diode-shotky-5a-40v","1"
"D3-D7, D9","Green","https://www.thegioiic.com/led-xanh-la-0805-dan-smd-trong-suot-harvatek","6"
"D8","BZT52C3V3-7-F","https://www.thegioiic.com/bzt52h-c3v3-diode-zener-3-3v-375mw-sod-123f","1"
"D10","SMF05C","https://www.thegioiic.com/smf05c-esd-protection-diode-array-sot-363","1"
"F1","16V/2.5A","https://www.thegioiic.com/mf-msmf250-16-cau-chi-tu-phuc-hoi-1812-16v-2-5a","1"
"H1-H3","BoreHole","","3"
"J1","DC-005-5A-2.0","https://www.thegioiic.com/dc5525-dau-noi-nguon-dc-cai-5525-han-pcb-kim-2-5mm","1"
"J2","BOOT","","1"
"J3","Load Program","","1"
"J4","Socket_TFT_1","https://www.thegioiic.com/dau-xh-2-54mm-8-chan-dan-smd-nam-ngang","1"
"J5","Socket_TFT_2","https://www.thegioiic.com/dau-xh-2-54mm-6-chan-dan-smd-nam-ngang","1"
"J6","USB_B_Micro","https://www.thegioiic.com/cong-usb-micro-b-2-0-dau-cai-5-chan-smd-v2","1"
"K1","SRA-05VDC-CL","https://www.thegioiic.com/sra-05vdc-cl-ro-le-5vdc-20a-spdt-5-chan","1"
"L1","6.8uH/4.4A","http://www.tme.vn/Product.aspx?id=1383#page=pro_info","1"
"NT1","NetTie_2","","1"
"NT2","NetTie_2","","1"
"Q1-Q4","MMBT2222A","","4"
"R1","330k/1%","https://www.thegioiic.com/dien-tro-330-kohm-0603-1-","1"
"R2","47k/1%","https://www.thegioiic.com/dien-tro-47-kohm-0603-1-","1"
"R3","30k/1%","https://www.thegioiic.com/dien-tro-30-kohm-0603-1-","1"
"R4-R7, R10-R14, R17, R19-R21, R23, R32, R33","10k/1%","https://www.thegioiic.com/dien-tro-10-kohm-0603-1-","16"
"R8","2.49k/1%","https://www.thegioiic.com/dien-tro-2-49-kohm-0603-1-","1"
"R9","49.9k/1%","https://www.thegioiic.com/dien-tro-49-9-kohm-0603-1-","1"
"R15, R16","0/1%","https://www.thegioiic.com/dien-tro-0-ohm-0603-1-","2"
"R18","Uart_Conn","","1"
"R22, R35","1k/1%","https://www.thegioiic.com/dien-tro-1-kohm-0603-1-","2"
"R24-R27","100k/1%","https://www.thegioiic.com/dien-tro-100-kohm-0603-1-","4"
"R28","200k/1%","https://www.thegioiic.com/dien-tro-200-kohm-0603-1-","1"
"R29","GL5528 ","https://www.thegioiic.com/gl5528-quang-tro-5mm","1"
"R30, R31","22/1%","https://www.thegioiic.com/dien-tro-22-ohm-0603-1-","2"
"R34","220/1%","https://www.thegioiic.com/dien-tro-220-ohm-0603-1-","1"
"RV1","MOV-07D471K","https://www.thegioiic.com/tu-chong-set-varistor-07d471k-470v","1"
"SW1","MS-22D18G2ROHS","https://www.thegioiic.com/mss-22d18-cong-tac-truot-6-chan-xuyen-lo-on-on-2p2t-0-5a","1"
"SW2","RESET","https://www.thegioiic.com/nut-nhan-3x4mm-cao-2-5mm-2-chan-smd","1"
"SW3","FLASH","https://www.thegioiic.com/nut-nhan-3x4mm-cao-2-5mm-2-chan-smd","1"
"SW4","ENABLE","https://www.thegioiic.com/nut-nhan-3x4mm-cao-2-5mm-2-chan-smd","1"
"TP1","Vin","","1"
"TP2","-5V","","1"
"TP3","3V3","","1"
"TP4","5V","","1"
"TP5","GND","","1"
"TP6","V_P","","1"
"TP7","V_N","","1"
"TP8","RG_1","","1"
"TP9","RG_2","","1"
"U1","ICL7662CBA-T","https://www.thegioiic.com/icl7662cba","1"
"U2","AMS1117-3.3","","1"
"U3","TPS54331D","https://www.thegioiic.com/tps54331dr-ic-dieu-chinh-giam-ap-3a-8-soic","1"
"U4","STM32F103RCTx","","1"
"U5","ESP32-WROOM-32E__4MB_HIGH_TEMP_","https://www.thegioiic.com/esp32-wroom-32e-n4-module-wifi-bluetooth-4mb-flash-2-4ghz","1"
"U6","MCP6002-E_SN","https://www.thegioiic.com/mcp6002-i-sn-ic-opamp-general-purpose-amplifier-2-circuit-1mhz-8-soic","1"
"U7","INA128UA","","1"
"U8","CH340C","https://www.thegioiic.com/ch340c-ic-usb-transceiver-2mbps-16-sop","1"
"U9","PC817X2NIPW","https://www.thegioiic.com/pc817x2nipw-optoisolator-transistor-output-5000vrms-1-channel-sop-4","1"
"VR1, VR2","50k/0.15W","https://www.thegioiic.com/evm3e-503-bien-tro-50-kohm-nut-ao-smd-0-15w","2"
"XA1","LED","https://www.thegioiic.com/ul-3-81-2-r-terminal-block-plug-in-han-pcb-2-chan-cong-3-81mm-300v-10a-ulo","1"
"XA2","220VAC","https://www.thegioiic.com/ul-3-81-2-r-terminal-block-plug-in-han-pcb-2-chan-cong-3-81mm-300v-10a-ulo","1"
"Y1","8MHz","https://www.thegioiic.com/bo-dao-dong-8mhz-cmos-7050-4-chan-smd","1"
"Y2","32.768KHz","https://www.thegioiic.com/thach-anh-32-768khz-c3215","1"
